Month,Inflation_rate
1/31/15,1.6
2/28/15,1.7
3/31/15,1.8
4/30/15,1.8
5/31/15,1.7
6/30/15,1.8
7/31/15,1.8
8/31/15,1.8
9/30/15,1.9
10/31/15,1.9
11/30/15,2
12/31/15,2.1
1/31/16,2.2
2/29/16,2.3
3/31/16,2.2
4/30/16,2.1
5/31/16,2.2
6/30/16,2.2
7/31/16,2.2
8/31/16,2.3
9/30/16,2.2
10/31/16,2.1
11/30/16,2.1
12/31/16,2.2
1/31/17,2.3
2/28/17,2.2
3/31/17,2
4/30/17,1.9
5/31/17,1.7
6/30/17,1.7
7/31/17,1.7
8/31/17,1.7
9/30/17,1.7
10/31/17,1.8
11/30/17,1.7
12/31/17,1.8
1/31/18,1.8
2/28/18,1.8
3/31/18,2.1
4/30/18,2.1
5/31/18,2.2
6/30/18,2.3
7/31/18,2.4
8/31/18,2.2
9/30/18,2.2
10/31/18,2.1
11/30/18,2.2
12/31/18,2.2
1/31/19,2.2
2/28/19,2.1
3/31/19,2
4/30/19,2.1
5/31/19,2
6/30/19,2.1
7/31/19,2.2
8/31/19,2.4
9/30/19,2.4
10/31/19,2.3
11/30/19,2.3
12/31/19,2.3
1/31/20,2.3
2/29/20,2.4
3/31/20,2.1
4/30/20,1.4
5/31/20,1.2
6/30/20,1.2
7/31/20,1.6
8/31/20,1.7
9/30/20,1.7
10/31/20,1.6
11/30/20,1.6
12/31/20,1.6
1/31/21,1.4
2/28/21,1.3
3/31/21,1.6
4/30/21,3
5/31/21,3.8
6/30/21,4.5
7/31/21,4.3
8/31/21,4
9/30/21,4
10/31/21,4.6
11/30/21,4.9
12/31/21,5.5
1/31/22,6
2/28/22,6.4
3/31/22,6.5
4/30/22,6.2
5/31/22,6
6/30/22,5.9
7/31/22,5.9
8/31/22,6.3
9/30/22,6.6
10/31/22,6.3
11/30/22,6
12/31/22,5.7
1/31/23,5.6
2/28/23,5.5
3/31/23,5.6
4/30/23,5.5
5/31/23,5.3
6/30/23,4.8
7/31/23,4.7
8/31/23,4.3
9/30/23,4.1
